player_id,game_id,season,week,y_true,y_pred,fold_idx,lgbm_pred,catboost_pred
00-0027685,2021_01_PIT_BUF,2021,1,8.0,7.320871175042391,0,6.803253307408103,7.291297321138005
00-0027793,2021_01_DAL_TB,2021,1,7.0,5.048785861112929,0,5.549615354645056,4.595995656108129
00-0027942,2021_01_ARI_TEN,2021,1,6.0,3.691424913597952,0,3.912106844181933,3.570994384903141
00-0027944,2021_01_ARI_TEN,2021,1,6.0,6.3864565473347055,0,6.362465330306253,6.133582279701171
00-0029000,2021_01_PIT_BUF,2021,1,13.0,7.320871175042391,0,6.803253307408103,7.291297321138005
00-0029293,2021_01_JAX_HOU,2021,1,9.0,7.7111536596000505,0,7.603577707076161,7.369022312001477
00-0029632,2021_01_SF_DET,2021,1,1.0,3.2447650227160665,0,3.3629943280480408,3.2404632483283566
00-0030035,2021_01_MIN_CIN,2021,1,10.0,7.830112476776954,0,7.892547657857868,7.36305773157412
00-0030068,2021_01_CHI_LA,2021,1,4.0,3.622123734853767,0,3.811584831025561,3.52980363013422
00-0030279,2021_01_LAC_WAS,2021,1,13.0,7.527814809994042,0,7.540696202184095,7.126325184831083
00-0030431,2021_01_CHI_LA,2021,1,4.0,7.0291397561390205,0,7.295184350857692,6.515245951891094
00-0030564,2021_01_ARI_TEN,2021,1,8.0,7.591466175847253,0,7.147317226912305,7.484030812989291
00-0030669,2021_01_MIA_NE,2021,1,2.0,3.2921717569384694,0,3.5536850055030125,3.1883428131755163
00-0031236,2021_01_JAX_HOU,2021,1,7.0,7.00893903708086,0,7.247651543645453,6.515245951891094
00-0031325,2021_01_BAL_LV,2021,1,8.0,7.178696959178258,0,7.051112772868634,6.907744821651627
00-0031381,2021_01_GB_NO,2021,1,7.0,5.749316597798787,0,5.255294051977207,5.875398278941057
00-0031382,2021_01_CLE_KC,2021,1,5.0,7.049473569939372,0,6.3968536657301,7.1383727295800075
00-0031408,2021_01_DAL_TB,2021,1,6.0,8.228608392033399,0,8.430848419959924,7.626072378948445
00-0031428,2021_01_CHI_LA,2021,1,11.0,7.747180898737421,0,7.688350719728605,7.369022312001477
00-0031544,2021_01_DAL_TB,2021,1,17.0,7.596225247497474,0,7.175282332264527,7.4729885864396115
00-0031547,2021_01_MIA_NE,2021,1,7.0,7.137608334488837,0,6.937905038622626,6.91862784725047
00-0031549,2021_01_MIA_NE,2021,1,7.0,7.194040593875381,0,6.846228718632928,7.066453118193056
00-0031588,2021_01_PIT_BUF,2021,1,13.0,7.788774204787524,0,7.526484278594418,7.54007789362158
00-0031868,2021_01_CHI_LA,2021,1,3.0,4.113290304430706,0,4.583150161308966,3.7828025914284176
