player_id,season,week,passing_yards
00-0019596,2020,21,201.0
00-0029701,2019,19,88.0
00-0029604,2022,13,173.0
00-0026544,2020,9,94.0
00-0027796,2020,16,0.0
00-0035752,2020,1,0.0
00-0029604,2020,8,160.0
00-0031237,2019,8,0.0
00-0032436,2022,18,13.0
00-0036898,2021,13,49.0
00-0031280,2020,15,53.0
00-0031288,2020,14,0.0
00-0031288,2020,17,20.0
00-0033119,2022,17,0.0
00-0036929,2021,16,135.0
00-0033275,2022,9,9.0
00-0020531,2019,2,38.0
00-0021206,2019,2,24.0
00-0022787,2019,7,65.0
00-0036972,2021,1,281.0
00-0022924,2021,18,244.0
00-0022924,2021,19,215.0
00-0023459,2021,4,248.0
00-0025708,2019,13,0.0
00-0029263,2021,14,260.0
00-0029604,2021,10,294.0
00-0029701,2021,10,213.0
00-0032950,2019,18,3.0
00-0027939,2019,1,239.0
00-0028118,2019,14,26.0
00-0031280,2021,18,186.0
00-0029567,2019,13,93.0
00-0029665,2019,10,20.0
00-0029665,2019,11,15.0
00-0032436,2020,4,0.0
00-0032434,2021,12,0.0
00-0032434,2021,17,0.0
00-0032950,2021,15,57.0
00-0033077,2021,3,238.0
00-0033119,2021,3,215.0
00-0033119,2021,4,199.0
00-0033275,2021,14,75.0
00-0034857,2019,17,5.0
00-0039851,2025,5,273.0
00-0033662,2021,10,17.0
00-0033662,2021,18,10.0
00-0033119,2020,9,0.0
00-0033119,2020,10,0.0
00-0033873,2021,15,410.0
00-0033873,2021,17,259.0
00-0032268,2019,17,24.0
00-0032268,2019,18,4.0
00-0032268,2019,20,0.0
00-0040691,2025,2,0.0
00-0033275,2020,8,3.0
00-0033275,2020,10,12.0
00-0033936,2021,9,33.0
00-0033936,2021,13,0.0
00-0039163,2025,2,207.0
00-0034869,2025,2,295.0
00-0039150,2025,2,328.0
00-0039163,2025,3,204.0
00-0036972,2025,3,284.0
00-0036389,2025,3,226.0
00-0036971,2025,4,174.0
00-0036945,2025,4,226.0
00-0035100,2025,4,125.0
00-0036212,2025,5,256.0
00-0036971,2025,5,221.0
00-0034869,2025,5,341.0
00-0033662,2025,6,72.0
00-0039910,2025,6,211.0
00-0040691,2025,6,195.0
00-0034857,2025,6,180.0
00-0033873,2025,7,286.0
00-0034869,2025,7,213.0
00-0040704,2025,8,156.0
00-0033873,2025,8,299.0
00-0036945,2025,8,244.0
00-0036264,2025,9,273.0
00-0039910,2025,9,153.0
00-0034857,2025,9,273.0
00-0040743,2025,9,176.0
00-0040704,2025,10,167.0
00-0034855,2025,10,273.0
00-0036355,2025,10,220.0
00-0039732,2025,11,295.0
00-0036971,2025,11,153.0
00-0036212,2025,10,173.0
00-0036972,2025,10,319.0
00-0039163,2025,13,276.0
00-0040743,2025,13,239.0
00-0039732,2025,13,321.0
00-0036212,2025,14,127.0
00-0040743,2025,14,144.0
00-0036389,2025,14,240.0
00-0040691,2025,15,246.0
00-0040398,2025,15,176.0
00-0037834,2025,15,295.0
00-0039150,2025,15,163.0
00-0039163,2025,17,244.0
00-0040668,2025,17,186.0
00-0038128,2025,17,288.0
00-0039163,2025,18,169.0
00-0040234,2025,16,260.0
00-0039732,2025,17,182.0
00-0040691,2025,17,207.0
00-0034796,2025,18,238.0
00-0039163,2025,19,250.0
00-0037834,2025,20,140.0
00-0034401,2021,9,95.0
00-0029604,2021,3,323.0
00-0033119,2021,15,0.0
00-0033662,2022,11,31.0
00-0035704,2021,12,26.0
00-0035710,2021,4,402.0
00-0035710,2021,6,242.0
00-0035752,2021,10,36.0
00-0035993,2021,7,39.0
00-0036226,2021,2,25.0
00-0029567,2020,16,0.0
00-0035282,2023,14,179.0
00-0036879,2021,13,0.0
00-0035146,2022,11,59.0
00-0035146,2022,18,29.0
00-0026197,2021,16,0.0
00-0032434,2021,9,6.0
00-0037012,2021,11,0.0
00-0036442,2021,22,263.0
00-0031345,2021,10,182.0
00-0035228,2022,14,9.0
00-0036972,2021,15,299.0
00-0035264,2022,8,72.0
00-0036898,2021,2,102.0
00-0035289,2022,8,23.0
00-0026544,2021,14,0.0
00-0036972,2021,18,261.0
00-0031280,2021,19,310.0
00-0032434,2021,6,7.0
00-0034796,2019,14,145.0
00-0027688,2021,15,56.0
00-0034869,2019,6,338.0
00-0027948,2021,11,11.0
00-0036442,2021,3,172.0
00-0035577,2019,5,68.0
00-0033869,2021,19,0.0
00-0034796,2021,14,17.0
00-0032268,2021,12,0.0
00-0035289,2021,8,11.0
00-0037013,2021,1,258.0
00-0033275,2021,8,0.0
00-0028118,2021,2,125.0
00-0036264,2021,17,19.0
00-0035264,2019,3,14.0
00-0026625,2021,17,63.0
00-0036971,2021,12,228.0
00-0035939,2022,13,0.0
00-0027948,2021,16,0.0
00-0033873,2021,4,278.0
00-0036442,2021,1,261.0
00-0031800,2021,1,122.0
00-0031345,2021,1,314.0
00-0032950,2021,1,251.0
00-0036389,2021,1,264.0
00-0023459,2021,1,133.0
00-0029701,2021,1,212.0
00-0036212,2021,1,202.0
