player_id,game_id,season,week,y_true,y_pred,fold_idx,lgbm_pred,catboost_pred
00-0019596,2021_01_DAL_TB,2021,1,379.0,255.32523544522135,0,243.85450476416136,253.7094468500512
00-0022924,2021_01_PIT_BUF,2021,1,188.0,256.33374049469194,0,241.6951025079728,254.35954973151823
00-0023459,2021_01_GB_NO,2021,1,133.0,248.1158916067445,0,198.19561333185936,243.62388838739872
00-0026143,2021_01_PHI_ATL,2021,1,164.0,304.4350365412728,0,275.3889442256575,297.53357470003743
00-0026498,2021_01_CHI_LA,2021,1,321.0,285.2423203761267,0,292.134186363562,282.9940986771725
00-0027973,2021_01_CHI_LA,2021,1,206.0,288.98818067003276,0,289.4951969505757,285.8877880646522
00-0028118,2021_01_JAX_HOU,2021,1,291.0,272.04186473391997,0,274.60740009603273,270.4087958044571
00-0029263,2021_01_SEA_IND,2021,1,254.0,273.51961332430176,0,274.29471301933626,271.6151981514665
00-0029604,2021_01_MIN_CIN,2021,1,351.0,227.72623216207745,0,229.73659175858543,229.4017166096737
00-0029701,2021_01_ARI_TEN,2021,1,212.0,246.27449565608563,0,245.8673139624226,246.3293130061809
00-0031237,2021_01_DEN_NYG,2021,1,264.0,230.53093955238484,0,219.3371809669944,230.81856698902095
00-0031280,2021_01_BAL_LV,2021,1,435.0,271.84618684965835,0,272.20678179185234,270.03167767365204
00-0031345,2021_01_SF_DET,2021,1,314.0,286.6446742414646,0,290.03101006236585,283.978154192416
00-0031503,2021_01_GB_NO,2021,1,148.0,256.1421374708424,0,245.09589350845255,254.5022336503143
00-0031800,2021_01_LAC_WAS,2021,1,122.0,227.83564288944586,0,184.65292665559943,225.4800825365063
00-0032950,2021_01_SEA_IND,2021,1,251.0,293.9740975280238,0,290.4165020912206,290.13410049239
00-0033077,2021_01_DAL_TB,2021,1,403.0,259.72452266726816,0,245.99889225131693,257.57466810744637
00-0033106,2021_01_SF_DET,2021,1,338.0,283.2879263714997,0,287.14230718532446,280.9174223192733
00-0033873,2021_01_CLE_KC,2021,1,337.0,258.3316279437479,0,260.38509619956994,257.6918575294534
00-0034796,2021_01_BAL_LV,2021,1,235.0,218.18487818980057,0,190.4149274276891,217.93252522292835
00-0034855,2021_01_CLE_KC,2021,1,321.0,247.57780851795602,0,258.30649220882566,248.52510130035225
00-0034857,2021_01_PIT_BUF,2021,1,270.0,246.09265551099335,0,200.8693630302875,242.1720519409822
00-0034869,2021_01_NYJ_CAR,2021,1,279.0,274.74058954101156,0,270.7114947355267,272.3160221995168
00-0035228,2021_01_ARI_TEN,2021,1,289.0,247.0114910316004,0,248.40480312899433,247.17073000143253
00-0035710,2021_01_DEN_NYG,2021,1,267.0,235.10687936410326,0,220.94759419383777,234.78380040819857
