player_id,game_id,season,week,y_true,y_pred,fold_idx,lgbm_pred,catboost_pred
00-0019596,2021_01_DAL_TB,2021,1,0.0,12.044987233648177,0,13.264346243323027,13.185428179756384
00-0022924,2021_01_PIT_BUF,2021,1,5.0,11.549842743830286,0,13.410184239912736,12.459779230583152
00-0023459,2021_01_GB_NO,2021,1,0.0,6.672334421370907,0,9.123083140624589,8.180116290000635
00-0026143,2021_01_PHI_ATL,2021,1,8.0,15.749691132127982,0,17.58161725053794,15.9043077056319
00-0026498,2021_01_CHI_LA,2021,1,-5.0,16.174782536210518,0,18.343895914449405,16.082523844070124
00-0027973,2021_01_CHI_LA,2021,1,13.0,13.645204937503362,0,14.800844189748611,14.524363077868236
00-0028118,2021_01_JAX_HOU,2021,1,40.0,14.227536007718147,0,16.48397249144814,14.448319084001072
00-0029263,2021_01_SEA_IND,2021,1,9.0,13.143401624932473,0,14.965759472076815,13.780377624595287
00-0029604,2021_01_MIN_CIN,2021,1,0.0,12.409268201519792,0,15.533951325038265,12.528094849318396
00-0029701,2021_01_ARI_TEN,2021,1,17.0,16.155301466833446,0,18.199230633703777,16.129349249356867
00-0031237,2021_01_DEN_NYG,2021,1,19.0,11.456794537324637,0,12.843596131955625,12.621098240708395
00-0031280,2021_01_BAL_LV,2021,1,6.0,15.322718537396447,0,18.604570962219793,14.828931869078795
00-0031345,2021_01_SF_DET,2021,1,2.0,10.468650993286403,0,10.827487068171395,12.329188858539506
00-0031503,2021_01_GB_NO,2021,1,37.0,10.384117896628286,0,11.784947764727084,11.737943463240772
00-0031800,2021_01_LAC_WAS,2021,1,17.0,12.071088944435315,0,13.687912565478635,13.007555245087651
00-0032950,2021_01_SEA_IND,2021,1,23.0,12.442824781299457,0,14.10286981377817,13.28951527392298
00-0033077,2021_01_DAL_TB,2021,1,13.0,13.210389132264481,0,13.279906285648632,14.71353779856226
00-0033106,2021_01_SF_DET,2021,1,14.0,12.894806308494005,0,14.09856296182492,13.887349624741391
00-0033873,2021_01_CLE_KC,2021,1,18.0,13.566915485421713,0,14.89576038967995,14.373615914345423
00-0034796,2021_01_BAL_LV,2021,1,86.0,16.212761915567434,0,14.754116294917893,17.931618308287316
00-0034855,2021_01_CLE_KC,2021,1,7.0,13.137598773191538,0,16.26164116194953,13.123290662059487
00-0034857,2021_01_PIT_BUF,2021,1,44.0,19.22841188247528,0,13.116511779484746,22.726702525217707
00-0034869,2021_01_NYJ_CAR,2021,1,-1.0,12.755689968357277,0,14.193456748572098,13.656448660787904
00-0035228,2021_01_ARI_TEN,2021,1,20.0,16.397150904803794,0,17.907287728572616,16.59439672549699
00-0035710,2021_01_DEN_NYG,2021,1,27.0,12.349059888916704,0,14.079222974299372,13.177791315874682
00-0036212,2021_01_MIA_NE,2021,1,1.0,13.29545900745168,0,14.516352594309664,14.20600032613652
00-0036355,2021_01_LAC_WAS,2021,1,-1.0,11.337308277102437,0,12.545196546952535,12.613169619042708
00-0036389,2021_01_PHI_ATL,2021,1,62.0,17.094204995622384,0,18.49287276224577,17.21958932366131
00-0036442,2021_01_MIN_CIN,2021,1,2.0,11.279552436904513,0,14.407578263449183,11.603707669490902
00-0036971,2021_01_JAX_HOU,2021,1,-2.0,13.181508519998175,0,14.843988064433844,13.891626008834788
