player_id,season,week,position,fantasy_ppr
00-0033926,2019,9,CB,0.0
00-0033921,2019,9,WR,13.9
00-0033954,2019,9,ILB,0.0
00-0033918,2019,9,CB,0.0
00-0033093,2022,5,DE,0.0
00-0034084,2019,9,K,0.0
00-0037007,2022,5,LB,0.0
00-0034162,2019,9,P,0.0
00-0034163,2019,9,DE,0.0
00-0036337,2022,5,DT,0.0
00-0034204,2019,9,OLB,0.0
00-0036348,2022,5,SAF,0.0
00-0033082,2022,5,G,0.0
00-0034115,2019,9,RB,1.2
00-0038715,2025,15,SAF,0.0
00-0038711,2025,15,LB,0.0
00-0038620,2025,15,SAF,0.0
00-0038660,2025,15,LB,0.0
00-0038720,2025,15,TE,4.5
00-0038606,2025,15,WR,8.3
00-0038596,2025,15,SAF,0.0
00-0038616,2025,15,CB,0.0
00-0038625,2025,15,LB,0.0
00-0038603,2025,15,DE,0.0
00-0034096,2019,9,DB,0.0
00-0034263,2019,9,DB,0.0
00-0034234,2019,9,DT,0.0
00-0036309,2022,5,WR,7.2
00-0034275,2019,9,DT,0.0
00-0036290,2022,5,TE,8.5
00-0035685,2022,5,RB,18.200000000000003
00-0036906,2022,5,RB,1.1
00-0038978,2025,15,DT,0.0
00-0034286,2019,9,WR,0.0
00-0038840,2025,15,WR,0.0
00-0038738,2025,15,RB,5.0
00-0038994,2025,15,WR,8.600000000000001
00-0038778,2025,15,DL,0.0
00-0038807,2025,15,LB,0.0
00-0038934,2025,15,OT,0.0
00-0038935,2025,15,TE,3.6
00-0038938,2025,15,WR,0.0
00-0034339,2019,9,WR,1.9
00-0034334,2019,9,DB,0.0
00-0034333,2019,9,NT,0.0
00-0034336,2019,9,LB,0.0
00-0030108,2022,5,TE,1.1
00-0037745,2022,5,RB,7.9
00-0033784,2022,5,FS,0.0
00-0038111,2022,5,CB,0.0
00-0033445,2022,5,LB,0.0
00-0034874,2022,5,ILB,0.0
00-0038135,2022,5,SAF,0.0
00-0036307,2022,5,CB,0.0
00-0027952,2022,5,DE,0.0
00-0036305,2022,5,DE,0.0
00-0034468,2019,9,DB,0.0
00-0039018,2025,15,LB,0.0
00-0039001,2025,15,OT,0.0
00-0039013,2025,15,LB,0.0
00-0034437,2019,9,P,0.0
00-0034364,2019,9,TE,5.4
00-0034374,2019,9,FS,0.0
00-0034356,2019,9,CB,0.0
