player_id,game_id,season,week,y_true,y_pred,fold_idx,xgb_pred,lgbm_pred,catboost_pred,tft_pred
00-0027061,2021_01_LAC_WAS,2021,1,10.6,5.000490344423808,0,4.8785377,5.332273468302386,5.246034124395196,9.317813873291016
00-0027656,2021_01_DAL_TB,2021,1,29.0,8.278904566210748,0,9.41053,8.635640442273683,8.00556579177767,-0.0003023280296474
00-0027981,2021_01_DEN_NYG,2021,1,2.8,6.85224890968606,0,8.745229,8.35893655722012,7.211959354152279,13.40585994720459
00-0030061,2021_01_PHI_ATL,2021,1,5.4,5.077186934750338,0,6.6478095,5.536968816591155,5.73981778849066,11.589744567871094
00-0030181,2021_01_SEA_IND,2021,1,5.1,5.139826740461497,0,4.43653,5.003305621280415,4.941200093159903,0.9889247417449952
00-0030506,2021_01_CLE_KC,2021,1,25.6,10.299017085844735,0,12.185228,9.01200148840152,10.578502781435493,-4.718221316579729e-05
00-0031260,2021_01_LAC_WAS,2021,1,12.0,8.601691406611774,0,9.492211,9.478280652414345,8.542798286284718,8.021876335144043
00-0031387,2021_01_PIT_BUF,2021,1,2.9000000000000004,5.093869121374498,0,4.166784,4.39423741841479,4.984097555938364,-0.0011868610745295
00-0031484,2021_01_JAX_HOU,2021,1,9.2,4.993301527279116,0,3.652162,4.202836763300682,4.838601625428089,-0.0002091685455525
00-0031558,2021_01_ARI_TEN,2021,1,0.0,8.98030305418602,0,9.744612,9.24663533589684,8.615202319443286,-0.0004353302065283
00-0031610,2021_01_BAL_LV,2021,1,26.5,9.97751511910121,0,9.435292,9.084869304179144,9.774126272272998,1.8705689907073977
00-0031951,2021_01_JAX_HOU,2021,1,10.8,9.078281708969644,0,10.658727,9.29699843274196,9.542964358753082,11.57501983642578
00-0032214,2021_01_NYJ_CAR,2021,1,5.6,5.971070018895773,0,6.462536,6.056416855298004,6.452361078435616,11.078536987304688
00-0032392,2021_01_CLE_KC,2021,1,5.7,6.594801653036793,0,7.9594803,5.831122168938299,6.855874986819354,3.809497138718143e-05
