player_id,game_id,season,week,y_true,y_pred,fold_idx,lgbm_pred,catboost_pred
00-0027685,2021_01_PIT_BUF,2021,1,52.0,60.18337299715405,0,61.388877007895,51.59610377557601
00-0027793,2021_01_DAL_TB,2021,1,121.0,37.18738144996368,0,37.03605595001952,32.865787089593624
00-0027942,2021_01_ARI_TEN,2021,1,25.0,34.06484713165983,0,32.84515441905456,32.38725615991875
00-0027944,2021_01_ARI_TEN,2021,1,29.0,59.47412970471784,0,56.98711664915254,59.544155784956466
00-0029000,2021_01_PIT_BUF,2021,1,60.0,60.18337299715405,0,61.388877007895,51.59610377557601
00-0029293,2021_01_JAX_HOU,2021,1,77.0,64.66162793101876,0,64.52458622401917,58.99610412593105
00-0029632,2021_01_SF_DET,2021,1,7.0,30.803313616874753,0,29.48519624488647,29.511163541275256
00-0030035,2021_01_MIN_CIN,2021,1,92.0,60.88996092720261,0,60.71171920961222,55.50057050243359
00-0030068,2021_01_CHI_LA,2021,1,45.0,33.84133525305159,0,31.608151553894697,34.54130173221545
00-0030279,2021_01_LAC_WAS,2021,1,100.0,65.3927374823621,0,63.24697450446095,64.3834836500801
00-0030431,2021_01_CHI_LA,2021,1,27.0,67.12530143633022,0,65.81104436989037,64.0915115523299
00-0030564,2021_01_ARI_TEN,2021,1,83.0,66.5727330156701,0,64.61927214599454,65.05809106716325
00-0030669,2021_01_MIA_NE,2021,1,0.0,28.009728958478725,0,27.358279223152763,25.29390976970669
00-0031236,2021_01_JAX_HOU,2021,1,132.0,68.20346220928504,0,67.3288452323525,64.0915115523299
00-0031325,2021_01_BAL_LV,2021,1,96.0,67.07734169744748,0,67.743053540299,59.42184230352691
00-0031381,2021_01_GB_NO,2021,1,56.0,52.623629965805456,0,51.132711395544064,50.694169334751926
00-0031382,2021_01_CLE_KC,2021,1,71.0,59.80891823038974,0,57.95688113952872,58.380058516785574
00-0031408,2021_01_DAL_TB,2021,1,24.0,70.55792253235488,0,70.39595288548995,64.66935124584163
00-0031428,2021_01_CHI_LA,2021,1,35.0,65.26946782981054,0,65.30654534756783,59.16831286976279
00-0031544,2021_01_DAL_TB,2021,1,139.0,67.56100969747938,0,66.60171408720149,63.67746272150247
00-0031547,2021_01_MIA_NE,2021,1,81.0,58.901327039778295,0,57.83844411305602,55.67277924626533
00-0031549,2021_01_MIA_NE,2021,1,72.0,58.28903872688327,0,56.62550171838623,56.49245902677274
00-0031588,2021_01_PIT_BUF,2021,1,69.0,66.8237393587203,0,67.00847775391598,60.303597272492766
00-0031868,2021_01_CHI_LA,2021,1,19.0,32.853828601291816,0,31.79110401428111,30.86742379581827
00-0032009,2021_01_LAC_WAS,2021,1,10.0,38.47895823652409,0,36.12121302603104,39.24860127626925
00-0032128,2021_01_JAX_HOU,2021,1,27.0,36.409746195123084,0,34.52309648491751,36.17790322101828
00-0032160,2021_01_SF_DET,2021,1,14.0,34.80188675653839,0,32.914084074402986,34.64943422264352
00-0032211,2021_01_SEA_IND,2021,1,100.0,70.38306579954843,0,70.01090064954236,64.9937237256841
00-0032355,2021_01_ARI_TEN,2021,1,62.0,40.98416584491521,0,39.97928433402096,38.474843178293085
00-0032385,2021_01_DEN_NYG,2021,1,113.0,64.25680922084746,0,63.39483415374509,60.303597272492766
00-0032464,2021_01_SF_DET,2021,1,50.0,57.67237639656897,0,56.013653564048624,55.893969631815665
00-0032688,2021_01_NYJ_CAR,2021,1,57.0,34.99726908854051,0,33.363368123315844,34.24253723032599
00-0032775,2021_01_CLE_KC,2021,1,9.0,47.66673276954744,0,43.8649500920096,51.37049132321787
00-0033009,2021_01_MIN_CIN,2021,1,32.0,50.098359294378696,0,46.46953831749995,53.28219204222928
00-0033040,2021_01_CLE_KC,2021,1,197.0,66.21849567142094,0,64.41983964746186,64.35922197709552
00-0033251,2021_01_SEA_IND,2021,1,43.0,68.02924967522213,0,68.71275406938862,60.286790023973126
00-0033307,2021_01_MIA_NE,2021,1,17.0,28.185103549310146,0,27.18044512869138,26.28579829404584
00-0033375,2021_01_DEN_NYG,2021,1,39.0,47.9662119493885,0,48.02556173235185,42.63843918200904
00-0033536,2021_01_LAC_WAS,2021,1,82.0,54.84320657626406,0,50.18233853385689,60.210932719201175
00-0033857,2021_01_PIT_BUF,2021,1,52.0,69.50219656616551,0,70.47987395341188,61.00246636256049
00-0033871,2021_01_NYJ_CAR,2021,1,97.0,62.00223245753824,0,61.25968420713888,57.877659843534175
00-0033908,2021_01_CHI_LA,2021,1,108.0,72.46609352151854,0,72.60567103140906,65.78226916673678
00-0033921,2021_01_DAL_TB,2021,1,105.0,69.34431180989385,0,68.03425012627896,66.1948732686202
00-0033932,2021_01_DEN_NYG,2021,1,64.0,58.23725057339591,0,58.57544821426097,51.76831251940775
00-0034272,2021_01_GB_NO,2021,1,17.0,41.35139975001776,0,38.62381867693346,42.84773267855774
00-0034348,2021_01_DEN_NYG,2021,1,14.0,65.2605286825833,0,64.50858717181717,61.00246636256049
00-0034411,2021_01_PHI_ATL,2021,1,0.0,45.76804230068683,0,45.62441480606838,41.019157067111664
00-0034418,2021_01_DAL_TB,2021,1,24.0,30.344954054272712,0,29.527987667275255,27.904286145668635
00-0034419,2021_01_NYJ_CAR,2021,1,51.0,40.35842777802985,0,38.050865352739386,40.92122040625311
00-0034487,2021_01_SF_DET,2021,1,23.0,31.135174503785244,0,29.95237957505879,29.511163541275256
00-0034521,2021_01_GB_NO,2021,1,16.0,37.48412195418509,0,36.11108909732742,36.001534251116524
00-0034764,2021_01_DAL_TB,2021,1,36.0,39.68089262589576,0,37.32016777790978,40.400159834132715
