player_id,game_id,season,week,y_true,y_pred,fold_idx,lgbm_pred,catboost_pred
00-0027061,2021_01_LAC_WAS,2021,1,8.0,2.702340513764231,0,2.813367817752104,2.888704601220472
00-0027656,2021_01_DAL_TB,2021,1,8.0,4.81296191131983,0,4.780637798238426,4.952307455685001
00-0027981,2021_01_DEN_NYG,2021,1,5.0,4.683157774241477,0,4.6781995213344665,4.80444592300841
00-0030061,2021_01_PHI_ATL,2021,1,2.0,2.8413946142717985,0,3.153860622137056,2.786500468124361
00-0030108,2021_01_NYJ_CAR,2021,1,6.0,2.193670107968334,0,2.387331604001155,2.3370603087215605
00-0030181,2021_01_SEA_IND,2021,1,4.0,2.4378935415956358,0,2.649850662589773,2.536448035028494
00-0030506,2021_01_CLE_KC,2021,1,7.0,5.500115680650367,0,5.139696456542136,5.94197946310674
00-0031260,2021_01_LAC_WAS,2021,1,3.0,5.123167539039767,0,5.232030283715936,5.072359357172022
00-0031387,2021_01_PIT_BUF,2021,1,2.0,2.327487851812711,0,2.459400186754116,2.527368899686494
00-0031484,2021_01_JAX_HOU,2021,1,1.0,2.27072826122422,0,2.4686453331000764,2.4016851117530544
00-0031558,2021_01_ARI_TEN,2021,1,1.0,5.030211464202578,0,4.8873907473211995,5.2728425033027975
00-0031610,2021_01_BAL_LV,2021,1,19.0,6.122481197628058,0,5.660091475538022,6.617902592309406
00-0031951,2021_01_JAX_HOU,2021,1,8.0,5.307694200916163,0,5.303714158804473,5.366060128709767
00-0032134,2021_01_MIN_CIN,2021,1,2.0,4.681362678448748,0,4.639595571719669,4.844398526311213
00-0032141,2021_01_ARI_TEN,2021,1,1.0,1.9840208472264322,0,2.1893207743448517,2.1350185792363336
00-0032214,2021_01_NYJ_CAR,2021,1,5.0,3.3400786505339135,0,3.4181681985738694,3.500516734275722
00-0032392,2021_01_CLE_KC,2021,1,3.0,3.438872194874028,0,3.2062955059571423,3.940381956378265
00-0033090,2021_01_MIA_NE,2021,1,3.0,4.904753411497517,0,5.016793190448207,4.871976183996148
00-0033110,2021_01_CHI_LA,2021,1,6.0,5.266921429291289,0,5.291538448217537,5.29702705900921
00-0033217,2021_01_SEA_IND,2021,1,2.0,2.268322507044525,0,2.52888781202422,2.328765804278804
00-0033288,2021_01_SF_DET,2021,1,5.0,5.721964319989405,0,5.685111930470929,5.776449548842326
00-0033357,2021_01_GB_NO,2021,1,0.0,2.2596130567856867,0,2.5617304681350443,2.273991625037522
00-0033439,2021_01_JAX_HOU,2021,1,5.0,5.0016130016109095,0,4.956959565309688,5.136209700590462
00-0033455,2021_01_ARI_TEN,2021,1,4.0,2.309855082728459,0,2.6188672276112155,2.3114740698050285
00-0033658,2021_01_DAL_TB,2021,1,3.0,2.364231739589139,0,2.333071292835783,2.744641802180038
00-0033757,2021_01_GB_NO,2021,1,4.0,2.5870543999611946,0,2.775601888288762,2.697282374942478
00-0033858,2021_01_MIA_NE,2021,1,5.0,4.984930995610418,0,5.009321513397915,5.043204227578205
00-0033885,2021_01_CLE_KC,2021,1,5.0,2.9808940193306794,0,3.122964717294374,3.1046276896147145
00-0033895,2021_01_SEA_IND,2021,1,2.0,4.963829817536462,0,5.170936580159404,4.8178413851965045
00-0034011,2021_01_NYJ_CAR,2021,1,3.0,2.727577987231026,0,3.0126264223572936,2.7149135587261544
00-0034159,2021_01_SEA_IND,2021,1,3.0,4.098577530246799,0,4.289691288045053,4.056294640794449
00-0034270,2021_01_MIN_CIN,2021,1,4.0,4.659722713293599,0,4.804310124440772,4.614441349113861
00-0034351,2021_01_PHI_ATL,2021,1,5.0,4.7827747241036445,0,4.967325664243793,4.680180756316644
00-0034364,2021_01_JAX_HOU,2021,1,2.0,3.019973395830989,0,3.3585931682704757,2.917866563973549
00-0034365,2021_01_NYJ_CAR,2021,1,2.0,2.8298464014132376,0,3.0393283031287264,2.892400242878775
00-0034383,2021_01_DAL_TB,2021,1,6.0,4.3341791526077555,0,4.4355313722507095,4.369948132640079
