player_id,game_id,season,week,y_true,y_pred,fold_idx,max_train_season,lgbm_pred,catboost_pred
00-0019596,2021_02_ATL_TB,2021,2,6.0,5.5463228711986865,0,2020,10.524256493037187,7.133869521645085
00-0022924,2021_02_LV_PIT,2021,2,0.0,4.033555760528524,0,2020,5.899149698091017,6.307990166110155
00-0023459,2021_02_DET_GB,2021,2,6.0,3.0138713051990775,0,2020,4.235853867740905,5.521182198388681
00-0026143,2021_02_ATL_TB,2021,2,3.0,4.619064349730595,0,2020,4.516677721295718,7.129670441883583
00-0026498,2021_02_LA_IND,2021,2,1.0,16.754259591397876,0,2020,21.585942721644894,16.924699438644584
00-0027973,2021_02_CIN_CHI,2021,2,25.0,10.328001992927824,0,2020,12.576871834112724,11.73293436034816
00-0028118,2021_02_HOU_CLE,2021,2,15.0,25.220378651271126,0,2020,37.99769628563836,23.045591493477836
00-0029263,2021_02_TEN_SEA,2021,2,16.0,26.840098529312886,0,2020,26.27037138021756,26.56919478805291
00-0029604,2021_02_MIN_ARI,2021,2,35.0,3.6944741310766327,0,2020,4.74470871515477,6.141502983787213
00-0029701,2021_02_TEN_SEA,2021,2,27.0,12.424512983724878,0,2020,18.084068462966357,13.02033503811678
00-0031237,2021_02_DEN_JAX,2021,2,1.0,15.766678898363743,0,2020,12.33280005497079,17.371958889568777
00-0031280,2021_02_LV_PIT,2021,2,9.0,11.762454092838837,0,2020,18.163891287289932,12.325957908309451
00-0031345,2021_02_SF_PHI,2021,2,20.0,5.236245583178947,0,2020,6.947704374869872,7.380521362045107
00-0031503,2021_02_NO_CAR,2021,2,19.0,42.45952617808631,0,2020,46.96161821564179,39.378925854091165
00-0031800,2021_02_NYG_WAS,2021,2,6.0,12.620778480036028,0,2020,16.533635964797227,13.467775470685442
00-0032950,2021_02_LA_IND,2021,2,37.0,15.262462362435418,0,2020,11.219769751055122,17.028873524053054
00-0033077,2021_02_DAL_LAC,2021,2,0.0,14.698079883213612,0,2020,17.773512111529183,15.410651435885066
00-0033106,2021_02_DET_GB,2021,2,46.0,15.868925980125951,0,2020,18.7146015960419,16.46739716615213
00-0033873,2021_02_KC_BAL,2021,2,3.0,21.467168326320852,0,2020,27.748447322068916,20.80260456249466
00-0034796,2021_02_KC_BAL,2021,2,107.0,58.9084877297211,0,2020,42.758132959004,56.98217307612355
00-0034855,2021_02_HOU_CLE,2021,2,10.0,14.0798981757826,0,2020,12.460899199786624,15.61474932945348
00-0034857,2021_02_BUF_MIA,2021,2,35.0,31.58642759406386,0,2020,32.6930597700765,30.440342841251272
00-0034869,2021_02_NO_CAR,2021,2,7.0,11.805863507258852,0,2020,14.235895865232935,12.992219829386766
00-0035228,2021_02_MIN_ARI,2021,2,31.0,28.569572482268185,0,2020,37.934279788988256,26.504412818798265
00-0035710,2021_02_NYG_WAS,2021,2,95.0,27.21553026990575,0,2020,32.22153976192639,26.014084133894016
00-0036212,2021_02_BUF_MIA,2021,2,0.0,10.30540209777976,0,2020,7.892924503236186,12.45084509916094
00-0036355,2021_02_DAL_LAC,2021,2,12.0,6.28655394265707,0,2020,4.961894005334311,8.776294423588759
00-0036389,2021_02_SF_PHI,2021,2,82.0,43.106129380863464,0,2020,43.01906984345578,40.66862114070739
00-0036442,2021_02_CIN_CHI,2021,2,0.0,8.815318503692147,0,2020,8.554958516042236,10.811692440918778
00-0036971,2021_02_DEN_JAX,2021,2,21.0,5.899145833171897,0,2020,7.726594023929484,7.939883153135237
00-0036972,2021_02_NE_NYJ,2021,2,0.0,2.3661225217119553,0,2020,3.187517577040401,5.0200593619547345
