player_id,game_id,season,week,y_true,y_pred,fold_idx,max_train_season,lgbm_pred,catboost_pred
00-0019596,2021_02_ATL_TB,2021,2,36.0,38.12796186818528,0,2020,37.43116905710778,35.34906690358123
00-0022924,2021_02_LV_PIT,2021,2,40.0,33.90138598388899,0,2020,32.73947475430634,33.519538505244206
00-0023459,2021_02_DET_GB,2021,2,27.0,25.49223543405801,0,2020,26.813613958888084,26.81177019787371
00-0026143,2021_02_ATL_TB,2021,2,46.0,34.67671318265752,0,2020,34.27769915636553,33.24534261655571
00-0026498,2021_02_LA_IND,2021,2,30.0,34.31434652215546,0,2020,31.984034757931767,34.79073393441673
00-0027973,2021_02_CIN_CHI,2021,2,11.0,28.752849112822666,0,2020,27.17708159379872,31.153481537529185
00-0028118,2021_02_HOU_CLE,2021,2,11.0,34.694943000340174,0,2020,32.99302513046412,34.42763040578623
00-0029263,2021_02_TEN_SEA,2021,2,31.0,34.075775648543804,0,2020,32.76214126793983,33.748845091753594
00-0029604,2021_02_MIN_ARI,2021,2,32.0,33.97790243056619,0,2020,34.66050785315342,31.900204192183217
00-0029701,2021_02_TEN_SEA,2021,2,40.0,36.290710920690714,0,2020,35.898634106930594,34.09758897497705
00-0031237,2021_02_DEN_JAX,2021,2,34.0,29.700250862732887,0,2020,28.244143609029,31.54971486914669
00-0031280,2021_02_LV_PIT,2021,2,37.0,35.19933016882326,0,2020,34.47130473527975,33.81942866603992
00-0031345,2021_02_SF_PHI,2021,2,30.0,31.645876684486794,0,2020,31.2885493516902,31.595715227828904
00-0031503,2021_02_NO_CAR,2021,2,22.0,31.56063140236961,0,2020,30.513860639535515,32.170860394726695
00-0031800,2021_02_NYG_WAS,2021,2,46.0,26.780685022221604,0,2020,28.429129743536706,27.202745980023703
00-0032950,2021_02_LA_IND,2021,2,31.0,38.36954335266731,0,2020,36.06680987100329,36.92288403469711
00-0033077,2021_02_DAL_LAC,2021,2,27.0,38.78826884455982,0,2020,38.825432854376146,35.039737301638446
00-0033106,2021_02_DET_GB,2021,2,36.0,39.78254761597327,0,2020,38.5546741651804,36.70710905014992
00-0033873,2021_02_KC_BAL,2021,2,31.0,38.270156806645346,0,2020,36.17050421370805,36.687250717956786
00-0034796,2021_02_KC_BAL,2021,2,26.0,29.371978961405098,0,2020,30.69668410173143,28.872422302870053
00-0034855,2021_02_HOU_CLE,2021,2,21.0,33.038559612521176,0,2020,32.75108538841422,32.273620407899756
00-0034857,2021_02_BUF_MIA,2021,2,33.0,34.903695566041286,0,2020,33.200412972782985,34.539894683981515
00-0034869,2021_02_NO_CAR,2021,2,38.0,35.16198075008704,0,2020,31.733378347342704,36.230035752441005
00-0035228,2021_02_MIN_ARI,2021,2,36.0,37.15869378522662,0,2020,36.636439954415,34.676428493218204
00-0035710,2021_02_NYG_WAS,2021,2,32.0,31.909328704147853,0,2020,29.632454236602904,33.463405839467185
00-0036212,2021_02_BUF_MIA,2021,2,4.0,32.984555369756734,0,2020,33.97474640077658,31.095018406254937
