player_id,game_id,season,week,y_true,y_pred,fold_idx,max_train_season,lgbm_pred,catboost_pred
00-0027966,2021_02_HOU_CLE,2021,2,2.0,2.098127047782562,0,2020,2.1634562245049596,2.042907469707119
00-0030874,2021_02_CIN_CHI,2021,2,3.0,3.037099927113504,0,2020,2.82493136419792,3.2643109540931308
00-0031045,2021_02_DEN_JAX,2021,2,2.0,2.079615735393543,0,2020,2.3266626576405622,1.8716175064983192
00-0031062,2021_02_NE_NYJ,2021,2,6.0,4.82183562887823,0,2020,4.695224410421115,5.0738568911119994
00-0032063,2021_02_ATL_TB,2021,2,7.0,4.239200744800105,0,2020,4.459444736533824,4.170082012131085
00-0032144,2021_02_DEN_JAX,2021,2,2.0,2.5607341690071532,0,2020,2.7380394736100033,2.43694024869262
00-0032602,2021_02_NYG_WAS,2021,2,6.0,2.0357064498467987,0,2020,2.185183159518813,1.9068353841965209
00-0032764,2021_02_TEN_SEA,2021,2,6.0,3.2073421026212254,0,2020,3.313331903192474,3.177993914200071
00-0032972,2021_02_NYG_WAS,2021,2,1.0,2.070196246761679,0,2020,2.1082797966260896,2.0362269907965427
00-0033045,2021_02_DAL_LAC,2021,2,2.0,2.7780671577433256,0,2020,2.944020723245288,2.6754781724724723
00-0033118,2021_02_LV_PIT,2021,2,6.0,3.184661194212883,0,2020,3.267452996709534,3.1734657273956053
00-0033280,2021_02_NO_CAR,2021,2,6.0,6.028129457408475,0,2020,5.800348612259352,6.429722733908562
00-0033293,2021_02_DET_GB,2021,2,6.0,2.492602678775545,0,2020,2.6730034462045396,2.36254811930579
00-0033553,2021_02_MIN_ARI,2021,2,0.0,1.946312613036738,0,2020,2.103128210139975,1.806489646156316
00-0033594,2021_02_TEN_SEA,2021,2,0.0,3.4755749769312354,0,2020,3.345922086492621,3.657516834799969
00-0033699,2021_02_DAL_LAC,2021,2,9.0,2.4417640741336286,0,2020,2.422020850022401,2.476137852748584
00-0033856,2021_02_ATL_TB,2021,2,4.0,4.160562904401399,0,2020,4.140094991788471,4.288257395062897
00-0033893,2021_02_MIN_ARI,2021,2,3.0,4.7108906768612915,0,2020,4.8767089421524865,4.712675031659151
00-0033897,2021_02_CIN_CHI,2021,2,2.0,3.8774228362805294,0,2020,3.676436983334672,4.140622164899182
00-0033906,2021_02_NO_CAR,2021,2,6.0,3.580228955999636,0,2020,3.690655433173238,3.567289280190677
00-0033923,2021_02_HOU_CLE,2021,2,1.0,2.9729791112258734,0,2020,2.9469905574090363,3.041224105734491
00-0033948,2021_02_DET_GB,2021,2,3.0,3.8966461675317143,0,2020,3.7901469383376254,4.0819622974105725
00-0033955,2021_02_TEN_SEA,2021,2,3.0,2.83183778113887,0,2020,2.786320867636157,2.9087804345144885
00-0034367,2021_02_LA_IND,2021,2,2.0,4.460788444404034,0,2020,4.835528069350033,4.274579801638802
00-0034681,2021_02_MIN_ARI,2021,2,5.0,3.2139793762030537,0,2020,3.164499211850282,3.314845817663976
00-0034791,2021_02_HOU_CLE,2021,2,1.0,2.5118700125788385,0,2020,2.599731377877744,2.460148493794688
00-0034844,2021_02_NYG_WAS,2021,2,3.0,2.1943227415574063,0,2020,2.1804881078286074,2.210413882365861
00-0035243,2021_02_SF_PHI,2021,2,2.0,4.136731404678805,0,2020,4.061644145288185,4.308761296732573
00-0035250,2021_02_BUF_MIA,2021,2,3.0,3.540408613551072,0,2020,3.6638599158097302,3.514441938113316
00-0035311,2021_02_BUF_MIA,2021,2,5.0,3.9488834908520647,0,2020,3.991560068516348,4.012418011495347
00-0035537,2021_02_NE_NYJ,2021,2,0.0,2.999011007859788,0,2020,2.9243680992809966,3.1092988625306734
00-0035657,2021_02_NE_NYJ,2021,2,1.0,2.604414502704903,0,2020,2.5935001819272996,2.6401876083700913
00-0035664,2021_02_LA_IND,2021,2,5.0,2.943578190015818,0,2020,3.095296392956018,2.8618073130971333
00-0035685,2021_02_CIN_CHI,2021,2,4.0,2.462166563099505,0,2020,2.288893373615146,2.625877106045629
00-0035831,2021_02_DEN_JAX,2021,2,3.0,3.6700905456261537,0,2020,3.7806168670429776,3.66191478690652
00-0035860,2021_02_NO_CAR,2021,2,0.0,1.9061427737784493,0,2020,1.985298845015401,1.8290182419994565
00-0036223,2021_02_LA_IND,2021,2,1.0,4.852768378550344,0,2020,4.762167406135319,5.0763805838573
00-0036275,2021_02_DET_GB,2021,2,5.0,5.080294694889719,0,2020,5.256929090945211,5.09297123928727
00-0036328,2021_02_NYG_WAS,2021,2,2.0,3.5503545115824173,0,2020,3.9208766502729864,3.318557922470577
00-0036360,2021_02_KC_BAL,2021,2,0.0,3.2389683617615104,0,2020,3.415757200436232,3.1521911168587273
00-0036457,2021_02_KC_BAL,2021,2,2.0,2.9939720232246336,0,2020,2.977233562873183,3.055623257752868
00-0036567,2021_02_SF_PHI,2021,2,2.0,2.359780832177364,0,2020,2.3250275360431716,2.402269465252514
00-0036893,2021_02_LV_PIT,2021,2,5.0,2.9940171751843514,0,2020,2.9239633081059724,3.1002026464446355
00-0036919,2021_02_SF_PHI,2021,2,3.0,2.2287392020991663,0,2020,2.498629403504454,2.0097050934176433
00-0036997,2021_02_DEN_JAX,2021,2,1.0,2.134012057097663,0,2020,2.074332496959847,2.185141987460259
00-0027966,2021_03_CAR_HOU,2021,3,1.0,1.7064729096629552,0,2020,1.7446077075653696,1.6528408911904395
00-0030513,2021_03_BAL_DET,2021,3,0.0,1.645233432884067,0,2020,1.7167872864318436,1.5603847019731367
00-0030874,2021_03_CHI_CLE,2021,3,0.0,2.300463530296169,0,2020,2.2000294565137377,2.3946124727585953
00-0031045,2021_03_ARI_JAX,2021,3,0.0,1.6974436917183082,0,2020,1.8378803314966397,1.5578767993010978
00-0031062,2021_03_NO_NE,2021,3,1.0,4.579519141963139,0,2020,4.708772073584421,4.604758324666732
00-0032063,2021_03_ATL_NYG,2021,3,4.0,4.263088152128125,0,2020,4.334851942070131,4.319276341961687
00-0032144,2021_03_NYJ_DEN,2021,3,2.0,2.7381948921915904,0,2020,2.7349290192318367,2.7747959956496717
00-0032187,2021_03_CAR_HOU,2021,3,0.0,2.3350137644132474,0,2020,2.435833736109138,2.2629285670175823
00-0032602,2021_03_WAS_BUF,2021,3,2.0,2.457755978423636,0,2020,2.5965085577903197,2.3606084520849
00-0032764,2021_03_IND_TEN,2021,3,3.0,4.058346709464532,0,2020,4.097780677639729,4.130494289133489
