player_name,position,team,adp
Ja'Marr Chase,WR,CIN,1.5
Bijan Robinson,RB,ATL,2.1
Saquon Barkley,RB,PHI,2.5
Justin Jefferson,WR,MIN,4.4
CeeDee Lamb,WR,DAL,4.9
Jahmyr Gibbs,RB,DET,5.1
Malik Nabers,WR,NYG,7.5
Christian McCaffrey,RB,SF,8.0
Puka Nacua,WR,LAR,9.7
Nico Collins,WR,HOU,10.0
Amon-Ra St. Brown,WR,DET,10.7
Derrick Henry,RB,BAL,11.1
Ashton Jeanty,RB,LV,11.7
De'Von Achane,RB,MIA,14.1
Brian Thomas Jr.,WR,JAX,14.7
Drake London,WR,ATL,15.4
Josh Jacobs,RB,GB,16.6
A.J. Brown,WR,PHI,17.9
Jonathan Taylor,RB,IND,18.5
Bucky Irving,RB,TB,19.5
Chase Brown,RB,CIN,20.1
Tee Higgins,WR,CIN,21.7
Lamar Jackson,QB,BAL,22.9
Kyren Williams,RB,LAR,23.1
Ladd McConkey,WR,LAC,23.4
Josh Allen,QB,BUF,24.7
Tyreek Hill,WR,FA,26.4
Brock Bowers,TE,LV,27.1
Davante Adams,WR,LAR,29.0
Alvin Kamara,RB,NO,29.7
Mike Evans,WR,SF,30.0
Joe Burrow,QB,CIN,30.3
Jayden Daniels,QB,WAS,31.4
Trey McBride,TE,ARI,32.6
Jaxon Smith-Njigba,WR,SEA,33.0
James Cook III,RB,BUF,33.7
DK Metcalf,WR,PIT,37.6
Terry McLaurin,WR,WAS,38.3
Jalen Hurts,QB,PHI,38.5
Omarion Hampton,RB,LAC,38.6
Marvin Harrison Jr.,WR,ARI,39.0
Garrett Wilson,WR,NYJ,39.5
Chuba Hubbard,RB,CAR,40.2
James Conner,RB,ARI,42.3
DJ Moore,WR,BUF,43.5
George Kittle,TE,SF,43.9
Kenneth Walker III,RB,KC,44.0
Courtland Sutton,WR,DEN,47.3
Breece Hall,RB,NYJ,47.5
DeVonta Smith,WR,PHI,48.3
TreVeyon Henderson,RB,NE,50.3
Xavier Worthy,WR,KC,50.9
Patrick Mahomes,QB,KC,52.3
Tetairoa McMillan,WR,CAR,52.3
Baker Mayfield,QB,TB,53.3
Tony Pollard,RB,TEN,56.8
D'Andre Swift,RB,CHI,56.8
Zay Flowers,WR,BAL,56.8
Calvin Ridley,WR,TEN,57.1
Jerry Jeudy,WR,CLE,58.8
George Pickens,WR,DAL,59.6
David Montgomery,RB,HOU,60.3
RJ Harvey,RB,DEN,61.9
Sam LaPorta,TE,DET,63.0
Aaron Jones Sr.,RB,MIN,63.2
Jameson Williams,WR,DET,63.4
Travis Kelce,TE,KC,65.0
Jaylen Waddle,WR,MIA,65.2
Isiah Pacheco,RB,DET,66.8
Bo Nix,QB,DEN,66.9
Deebo Samuel Sr.,WR,FA,70.4
Travis Hunter,WR,JAX,70.8
Jakobi Meyers,WR,JAX,70.9
Chris Olave,WR,NO,72.0
T.J. Hockenson,TE,MIN,73.1
Tyrone Tracy Jr.,RB,NYG,74.8
Ricky Pearsall,WR,SF,76.1
Jaylen Warren,RB,PIT,76.3
David Njoku,TE,FA,76.6
Stefon Diggs,WR,FA,77.3
Brock Purdy,QB,SF,77.5
Matthew Golden,WR,GB,78.2
Kaleb Johnson,RB,PIT,79.2
Rome Odunze,WR,CHI,80.3
Rashee Rice,WR,KC,82.5
Jauan Jennings,WR,FA,83.5
Emeka Egbuka,WR,TB,84.2
Austin Ekeler,RB,FA,84.3
Dak Prescott,QB,DAL,84.7
Khalil Shakir,WR,BUF,85.1
Kyler Murray,QB,MIN,86.0
Mark Andrews,TE,BAL,87.2
