player_name,position,team,adp
Saquon Barkley,RB,NYG,1.4
Alvin Kamara,RB,NO,2.5
Christian McCaffrey,RB,CAR,3.2
Ezekiel Elliott,RB,DAL,3.9
Davante Adams,WR,GB,6.4
DeAndre Hopkins,WR,HOU,7.0
James Conner,RB,PIT,7.1
David Johnson,RB,ARI,7.1
LeVeon Bell,RB,NYJ,8.8
Julio Jones,WR,ATL,10.2
Michael Thomas,WR,NO,10.4
Nick Chubb,RB,CLE,11.7
JuJu Smith-Schuster,WR,PIT,12.9
Tyreek Hill,WR,KC,13.9
Dalvin Cook,RB,MIN,14.6
Odell Beckham Jr.,WR,CLE,15.1
Todd Gurley,RB,LAR,16.0
Travis Kelce,TE,KC,17.1
Joe Mixon,RB,CIN,18.4
Patrick Mahomes,QB,KC,19.3
Mike Evans,WR,TB,20.2
Antonio Brown,WR,NE,21.4
Adam Thielen,WR,MIN,22.9
Leonard Fournette,RB,JAX,23.2
Keenan Allen,WR,LAC,25.0
Damien Williams,RB,KC,25.5
Chris Carson,RB,SEA,26.5
George Kittle,TE,SF,28.3
Kerryon Johnson,RB,DET,28.5
Aaron Jones Sr.,RB,GB,29.2
Devonta Freeman,RB,ATL,30.4
Stefon Diggs,WR,MIN,30.8
David Montgomery,RB,CHI,31.3
Josh Jacobs,RB,LV,33.1
Amari Cooper,WR,DAL,33.1
Zach Ertz,TE,PHI,33.5
Julian Edelman,WR,NE,36.1
Sony Michel,RB,NE,37.4
Brandin Cooks,WR,LAR,39.1
Mark Ingram II,RB,BAL,39.7
Chris Godwin Jr.,WR,TB,39.9
Melvin Gordon III,RB,LAC,42.0
Robert Woods,WR,LAR,42.2
Tyler Lockett,WR,SEA,42.9
Derrick Henry,RB,TEN,43.8
Cooper Kupp,WR,LAR,45.2
Marlon Mack,RB,IND,46.5
Kenny Golladay,WR,DET,47.1
Deshaun Watson,QB,HOU,47.1
James White,RB,NE,48.1
T.Y. Hilton,WR,IND,49.0
Tyler Boyd,WR,CIN,51.5
Duke Johnson,RB,HOU,51.7
Josh Gordon,WR,SEA,52.1
Calvin Ridley,WR,ATL,53.5
O.J. Howard,TE,TB,54.1
Phillip Lindsay,RB,DEN,55.6
Aaron Rodgers,QB,GB,55.7
Evan Engram,TE,NYG,57.3
Tevin Coleman,RB,SF,57.7
Miles Sanders,RB,PHI,59.0
Mike Williams,WR,LAC,60.3
