player_name,position,team,adp
Christian McCaffrey,RB,CAR,1.2
Saquon Barkley,RB,NYG,2.5
Ezekiel Elliott,RB,DAL,3.4
Alvin Kamara,RB,NO,4.9
Michael Thomas,WR,NO,5.6
Clyde Edwards-Helaire,RB,KC,6.2
Dalvin Cook,RB,MIN,6.2
Derrick Henry,RB,TEN,7.4
Josh Jacobs,RB,LV,9.1
Davante Adams,WR,GB,10.4
Austin Ekeler,RB,LAC,11.5
Miles Sanders,RB,PHI,12.0
Joe Mixon,RB,CIN,13.1
Julio Jones,WR,ATL,14.4
Kenyan Drake,RB,ARI,14.8
Tyreek Hill,WR,KC,15.8
Nick Chubb,RB,CLE,16.3
Aaron Jones Sr.,RB,GB,17.5
DeAndre Hopkins,WR,ARI,18.5
Patrick Mahomes,QB,KC,18.7
Travis Kelce,TE,KC,19.9
Chris Godwin Jr.,WR,TB,21.5
James Conner,RB,PIT,22.4
Lamar Jackson,QB,BAL,22.7
George Kittle,TE,SF,24.4
Kenny Golladay,WR,DET,25.8
Chris Carson,RB,SEA,26.4
Mike Evans,WR,TB,27.9
David Johnson,RB,HOU,28.5
Todd Gurley,RB,ATL,29.1
Adam Thielen,WR,MIN,30.3
Allen Robinson II,WR,CHI,31.8
Jonathan Taylor,RB,IND,32.6
DJ Moore,WR,CAR,32.6
LeVeon Bell,RB,KC,34.5
Leonard Fournette,RB,TB,35.4
Odell Beckham Jr.,WR,CLE,35.7
JuJu Smith-Schuster,WR,PIT,36.9
Amari Cooper,WR,DAL,38.1
Melvin Gordon III,RB,DEN,39.4
Cooper Kupp,WR,LAR,40.3
Calvin Ridley,WR,ATL,40.9
Mark Andrews,TE,BAL,42.4
Robert Woods,WR,LAR,42.4
Mark Ingram II,RB,BAL,42.5
A.J. Brown,WR,TEN,44.4
DK Metcalf,WR,SEA,45.3
Devin Singletary,RB,BUF,46.4
DJ Chark,WR,JAX,47.5
Raheem Mostert,RB,SF,49.4
Tyler Lockett,WR,SEA,49.9
Zach Ertz,TE,PHI,50.6
Terry McLaurin,WR,WAS,50.8
Cam Akers,RB,LAR,52.8
Kareem Hunt,RB,CLE,53.1
Keenan Allen,WR,LAC,53.5
Dak Prescott,QB,DAL,54.7
Ronald Jones,RB,TB,56.5
T.Y. Hilton,WR,IND,57.5
Courtland Sutton,WR,DEN,58.1
David Montgomery,RB,CHI,59.7
Hollywood Brown,WR,BAL,60.0
D'Andre Swift,RB,DET,61.4
Darren Waller,TE,LV,61.6
Russell Wilson,QB,SEA,62.0
Kyler Murray,QB,ARI,62.6
Stefon Diggs,WR,BUF,65.0
DeVante Parker,WR,MIA,66.7
J.K. Dobbins,RB,BAL,67.0
Deshaun Watson,QB,HOU,69.3
A.J. Green,WR,CIN,69.8
Rob Gronkowski,TE,TB,70.4
Will Fuller,WR,HOU,70.5
Michael Gallup,WR,DAL,72.2
James White,RB,NE,72.7
Marlon Mack,RB,IND,74.6
Evan Engram,TE,NYG,74.8
Julian Edelman,WR,NE,77.2
Tyler Boyd,WR,CIN,78.5
Antonio Gibson,RB,WAS,79.0
Hayden Hurst,TE,ATL,79.4
Jordan Howard,RB,PHI,80.0
Drew Brees,QB,NO,80.1
Brandin Cooks,WR,HOU,81.5
Zack Moss,RB,BUF,83.7
Phillip Lindsay,RB,DEN,83.8
Tarik Cohen,RB,CHI,84.6
Matt Ryan,QB,ATL,84.8
Jarvis Landry,WR,CLE,85.5
Tom Brady,QB,TB,88.0
Deebo Samuel Sr.,WR,SF,89.1
Diontae Johnson,WR,PIT,89.4
Tyler Higbee,TE,LAR,89.7
Matt Breida,RB,MIA,90.5
CeeDee Lamb,WR,DAL,93.2
Aaron Rodgers,QB,GB,94.3
Latavius Murray,RB,NO,94.9
Marvin Jones Jr.,WR,DET,95.1
