player_name,position,team,adp
Jonathan Taylor,RB,IND,1.3
Christian McCaffrey,RB,SF,2.4
Austin Ekeler,RB,LAC,2.7
Derrick Henry,RB,TEN,4.3
Justin Jefferson,WR,MIN,4.6
Cooper Kupp,WR,LAR,5.7
Najee Harris,RB,PIT,7.1
Dalvin Cook,RB,MIN,7.5
Ja'Marr Chase,WR,CIN,8.7
Joe Mixon,RB,CIN,10.1
Alvin Kamara,RB,NO,10.9
Davante Adams,WR,LV,12.0
D'Andre Swift,RB,DET,12.8
Stefon Diggs,WR,BUF,13.6
Aaron Jones Sr.,RB,GB,14.9
Saquon Barkley,RB,NYG,15.5
Travis Kelce,TE,KC,16.5
CeeDee Lamb,WR,DAL,17.5
Nick Chubb,RB,CLE,18.8
Deebo Samuel Sr.,WR,SF,19.6
Javonte Williams,RB,DEN,20.2
Josh Allen,QB,BUF,20.4
Leonard Fournette,RB,TB,21.9
Tyreek Hill,WR,MIA,22.7
Michael Pittman Jr.,WR,IND,24.9
Mark Andrews,TE,BAL,25.5
Mike Evans,WR,TB,26.5
Ezekiel Elliott,RB,DAL,27.7
James Conner,RB,ARI,28.4
Keenan Allen,WR,LAC,29.5
A.J. Brown,WR,PHI,30.4
Kyle Pitts Sr.,TE,ATL,31.2
Tee Higgins,WR,CIN,32.5
Cam Akers,RB,LAR,33.1
Justin Herbert,QB,LAC,33.2
Travis Etienne Jr.,RB,JAX,33.6
DJ Moore,WR,CAR,35.9
Terry McLaurin,WR,WAS,38.0
Patrick Mahomes,QB,KC,38.3
J.K. Dobbins,RB,BAL,38.8
David Montgomery,RB,CHI,39.3
Mike Williams,WR,LAC,39.6
Elijah Mitchell,RB,SF,42.4
Diontae Johnson,WR,PIT,43.4
George Kittle,TE,SF,44.2
Breece Hall,RB,NYJ,44.4
Courtland Sutton,WR,DEN,45.3
Joe Burrow,QB,CIN,46.1
Josh Jacobs,RB,LV,46.8
Jaylen Waddle,WR,MIA,47.7
AJ Dillon,RB,GB,48.7
Darren Waller,TE,LV,50.4
Lamar Jackson,QB,BAL,51.3
DK Metcalf,WR,SEA,51.4
Michael Thomas,WR,NO,52.3
Allen Robinson II,WR,LAR,53.5
Clyde Edwards-Helaire,RB,KC,54.3
Jalen Hurts,QB,PHI,56.3
Chris Godwin Jr.,WR,TB,56.5
Brandin Cooks,WR,HOU,56.7
Damien Harris,RB,NE,59.8
Kyler Murray,QB,ARI,61.6
Jerry Jeudy,WR,DEN,61.7
Miles Sanders,RB,PHI,61.7
Dalton Schultz,TE,DAL,62.6
Gabe Davis,WR,BUF,62.9
Rashaad Penny,RB,SEA,63.3
Adam Thielen,WR,MIN,63.8
Darnell Mooney,WR,CHI,68.1
Hollywood Brown,WR,ARI,68.7
Kareem Hunt,RB,CLE,68.9
Chase Edmonds,RB,DEN,69.6
Dameon Pierce,RB,HOU,70.5
Tony Pollard,RB,DAL,70.8
Hunter Renfrow,WR,LV,71.2
Russell Wilson,QB,DEN,72.5
Amon-Ra St. Brown,WR,DET,73.4
Devin Singletary,RB,BUF,74.4
Dallas Goedert,TE,PHI,75.2
JuJu Smith-Schuster,WR,KC,75.9
Rhamondre Stevenson,RB,NE,76.0
Aaron Rodgers,QB,GB,80.2
Rashod Bateman,WR,BAL,81.0
Dak Prescott,QB,DAL,83.6
Amari Cooper,WR,CLE,84.2
Melvin Gordon III,RB,KC,85.4
DeVonta Smith,WR,PHI,86.6
Tom Brady,QB,TB,86.8
Elijah Moore,WR,NYJ,87.9
Zach Ertz,TE,ARI,89.0
Allen Lazard,WR,GB,89.5
DeAndre Hopkins,WR,ARI,90.0
Brandon Aiyuk,WR,SF,90.0
Matthew Stafford,QB,LAR,90.3
Cordarrelle Patterson,RB,ATL,91.4
James Cook III,RB,BUF,92.0
Kenneth Walker III,RB,SEA,92.9
Nyheim Hines,RB,BUF,93.9
Christian Kirk,WR,JAX,96.2
Trey Lance,QB,SF,97.7
Pat Freiermuth,TE,PIT,100.0
James Robinson,RB,NYJ,101.5
Raheem Mostert,RB,MIA,101.9
Drake London,WR,ATL,102.2
Robert Woods,WR,TEN,102.5
Kadarius Toney,WR,KC,102.7
Derek Carr,QB,LV,103.1
Cole Kmet,TE,CHI,103.6
Kenny Gainwell,RB,PHI,105.8
Tyler Allgeier,RB,ATL,107.6
Kirk Cousins,QB,MIN,108.6
J.D. McKissic,RB,WAS,110.2
Chris Olave,WR,NO,110.4
Dawson Knox,TE,BUF,111.5
Darrell Henderson Jr.,RB,JAX,111.9
Tyler Lockett,WR,SEA,112.5
Brian Robinson Jr.,RB,WAS,112.7
Michael Carter,RB,NYJ,113.3
Antonio Gibson,RB,WAS,114.7
Buffalo Defense,DEF,BUF,117.2
Isiah Pacheco,RB,KC,118.0
Skyy Moore,WR,KC,118.1
Michael Gallup,WR,DAL,118.2
T.J. Hockenson,TE,MIN,120.2
Julio Jones,WR,TB,120.9
Tua Tagovailoa,QB,MIA,121.2
Jamaal Williams,RB,DET,121.7
Tyler Boyd,WR,CIN,123.0
Rachaad White,RB,TB,123.3
George Pickens,WR,PIT,123.6
Alexander Mattison,RB,MIN,128.9
Marquez Valdes-Scantling,WR,KC,129.0
Treylon Burks,WR,TEN,129.3
Zamir White,RB,LV,130.5
LA Rams Defense,DEF,LAR,131.5
Matt Ryan,QB,IND,132.9
Chase Claypool,WR,CHI,133.7
Romeo Doubs,WR,GB,134.1
Hunter Henry,TE,NE,134.1
DeVante Parker,WR,NE,134.9
Justin Tucker,PK,BAL,135.5
Justin Fields,QB,CHI,138.0
Daniel Carlson,PK,LV,139.4
Rondale Moore,WR,ARI,142.5
Trevor Lawrence,QB,JAX,142.9
Tampa Bay Defense,DEF,TB,143.5
Tyler Bass,PK,BUF,143.7
San Francisco Defense,DEF,SF,144.1
Indianapolis Defense,DEF,IND,145.6
Irv Smith Jr.,TE,MIN,146.0
Robert Tonyan,TE,GB,147.9
Jameis Winston,QB,NO,150.1
Isaiah McKenzie,WR,BUF,152.6
LA Chargers Defense,DEF,LAC,153.7
Nico Collins,WR,HOU,153.8
Matt Gay,PK,LAR,159.1
Dustin Hopkins,PK,LAC,159.5
