player_name,position,team,adp
Christian McCaffrey,RB,CAR,1.2
Dalvin Cook,RB,MIN,2.5
Alvin Kamara,RB,NO,3.8
Derrick Henry,RB,TEN,4.0
Ezekiel Elliott,RB,DAL,5.3
Davante Adams,WR,GB,6.4
Aaron Jones Sr.,RB,GB,7.5
Travis Kelce,TE,KC,8.2
Austin Ekeler,RB,LAC,8.5
Nick Chubb,RB,CLE,9.9
Tyreek Hill,WR,KC,10.6
Saquon Barkley,RB,NYG,12.0
Najee Harris,RB,PIT,12.9
Stefon Diggs,WR,BUF,13.5
Jonathan Taylor,RB,IND,13.8
Antonio Gibson,RB,WAS,15.6
DeAndre Hopkins,WR,ARI,17.0
Calvin Ridley,WR,ATL,18.0
Joe Mixon,RB,CIN,19.2
DK Metcalf,WR,SEA,19.7
Clyde Edwards-Helaire,RB,KC,20.4
Darren Waller,TE,LV,21.5
Justin Jefferson,WR,MIN,22.4
Patrick Mahomes,QB,KC,22.9
A.J. Brown,WR,TEN,24.8
David Montgomery,RB,CHI,25.9
Keenan Allen,WR,LAC,25.9
Chris Carson,RB,SEA,28.0
George Kittle,TE,SF,28.5
James Robinson,RB,JAX,29.1
CeeDee Lamb,WR,DAL,29.6
Terry McLaurin,WR,WAS,30.3
Allen Robinson II,WR,CHI,32.7
D'Andre Swift,RB,DET,34.0
Josh Allen,QB,BUF,34.4
Robert Woods,WR,LAR,35.1
Josh Jacobs,RB,LV,35.4
Mike Evans,WR,TB,37.8
Miles Sanders,RB,PHI,38.7
Amari Cooper,WR,DAL,40.0
Kyle Pitts Sr.,TE,ATL,40.3
Kyler Murray,QB,ARI,41.3
Cooper Kupp,WR,LAR,41.3
Mike Davis,RB,ATL,43.1
Darrell Henderson Jr.,RB,LAR,43.8
Diontae Johnson,WR,PIT,44.9
Myles Gaskin,RB,MIA,45.7
Julio Jones,WR,TEN,46.0
Chris Godwin Jr.,WR,TB,47.2
Tyler Lockett,WR,SEA,48.4
Lamar Jackson,QB,BAL,50.9
Adam Thielen,WR,MIN,52.3
Javonte Williams,RB,DEN,52.7
Mark Andrews,TE,BAL,52.8
Kareem Hunt,RB,CLE,53.2
Brandon Aiyuk,WR,SF,53.9
T.J. Hockenson,TE,DET,55.4
Damien Harris,RB,NE,55.5
Gus Edwards,RB,BAL,56.6
DJ Moore,WR,CAR,57.0
Aaron Rodgers,QB,GB,59.0
Chase Edmonds,RB,ARI,60.4
Chase Claypool,WR,PIT,61.1
Tee Higgins,WR,CIN,61.3
Raheem Mostert,RB,SF,63.0
Jerry Jeudy,WR,DEN,64.1
Dak Prescott,QB,DAL,66.7
Trey Sermon,RB,SF,67.7
Odell Beckham Jr.,WR,LAR,69.0
Justin Herbert,QB,LAC,69.3
Russell Wilson,QB,SEA,69.4
Michael Thomas,WR,NO,69.5
Logan Thomas,TE,WAS,72.2
Antonio Brown,WR,TB,72.7
Robbie Chosen,WR,CAR,75.0
Melvin Gordon III,RB,DEN,75.2
Michael Carter,RB,NYJ,76.1
Ja'Marr Chase,WR,CIN,77.4
DeVonta Smith,WR,PHI,77.6
Tom Brady,QB,TB,77.8
AJ Dillon,RB,GB,79.1
Noah Fant,TE,DEN,79.2
Ronald Jones,RB,TB,79.8
JuJu Smith-Schuster,WR,PIT,82.5
Kenny Golladay,WR,NYG,82.8
Zack Moss,RB,BUF,83.8
Matthew Stafford,QB,LAR,85.0
Courtland Sutton,WR,DEN,85.7
Laviska Shenault Jr.,WR,JAX,85.9
Robert Tonyan,TE,GB,87.2
Corey Davis,WR,NYJ,89.6
Deebo Samuel Sr.,WR,SF,89.8
Leonard Fournette,RB,TB,90.1
Marquez Callaway,WR,NO,90.5
Devin Singletary,RB,BUF,91.2
Jamaal Williams,RB,DET,92.0
Sony Michel,RB,LAR,93.4
Dallas Goedert,TE,PHI,93.9
Tyler Higbee,TE,LAR,95.8
Ryan Tannehill,QB,TEN,96.1
James Conner,RB,ARI,96.2
Tyler Boyd,WR,CIN,97.3
Jaylen Waddle,WR,MIA,99.2
Mecole Hardman Jr.,WR,KC,100.0
Jalen Hurts,QB,PHI,100.2
Tony Pollard,RB,DAL,102.7
Brandin Cooks,WR,HOU,102.9
Kenyan Drake,RB,LV,102.9
Michael Pittman Jr.,WR,IND,104.4
Alexander Mattison,RB,MIN,106.5
Phillip Lindsay,RB,MIA,107.5
Pittsburgh Defense,DEF,PIT,108.5
LA Rams Defense,DEF,LAR,108.6
Darnell Mooney,WR,CHI,109.0
Joe Burrow,QB,CIN,112.4
DJ Chark,WR,JAX,112.8
Mike Gesicki,TE,MIA,114.3
Tampa Bay Defense,DEF,TB,115.0
David Johnson,RB,HOU,115.0
Jakobi Meyers,WR,NE,116.2
Mike Williams,WR,LAC,116.2
J.D. McKissic,RB,WAS,116.8
