eval_season,position,stat,n_games,stack_mae,stack_rmse,stack_crps,naive_mae,rolling_mae,coverage_80,coverage_50,baseline_improvement_pct
2019,QB,passing_yards,581,172.79720208273812,194.5298262234333,143.13590132075115,75.91991233879921,75.91991233879921,0.18760757314974183,0.03270223752151463,-127.60458588468278
2019,QB,passing_tds,581,0.7620997354004043,0.9829135812137407,0.6750796308606054,1.0887776331315124,1.0887776331315124,0.9862306368330465,0.8691910499139415,30.004097052538274
2019,QB,rushing_yards,581,11.418777522145312,14.84318700046431,8.039526264555617,11.556317986411962,11.556317986411962,0.9328743545611016,0.5163511187607573,1.1901754903972965
2020,QB,passing_yards,636,168.57832871515072,192.4597211999829,139.9815776318289,74.61704207229492,74.61704207229492,0.23742138364779874,0.04874213836477988,-125.92470035440246
2020,QB,passing_tds,636,0.7746182736208704,0.9823405824859247,0.6783959232309965,1.0074875360990245,1.0074875360990245,0.9937106918238994,0.8490566037735849,23.113860383803864
2020,QB,rushing_yards,636,12.150235952436574,15.952887792683683,8.61635126312017,12.49439240695581,12.49439240695581,0.9040880503144654,0.5047169811320755,2.7544873196686175
2021,QB,passing_yards,655,160.64858651620528,183.57339493435322,132.36594448773405,75.04834984946848,75.04834984946848,0.2366412213740458,0.04732824427480916,-114.06011836160718
2021,QB,passing_tds,655,0.7096506269383989,0.9196269697063199,0.6575931500795037,0.953803877106978,0.953803877106978,0.9908396946564886,0.899236641221374,25.59784626889235
2021,QB,rushing_yards,655,11.472099495691785,15.276225993203997,8.165100114885668,12.611266608714757,12.611266608714757,0.9297709923664123,0.5251908396946565,9.03293180905219
2022,QB,passing_yards,633,156.4580032052744,177.42945117102715,127.91518577706012,69.44244391994458,69.44244391994458,0.20695102685624012,0.044233807266982623,-125.30601513052171
2022,QB,passing_tds,633,0.7514683964535352,1.0084714080088417,0.6842810963543667,0.9505954679472742,0.9505954679472742,0.9794628751974723,0.8736176935229067,20.94761422792558
2022,QB,rushing_yards,633,13.333305273353911,18.257906295291416,9.422701036633054,13.440731752458388,13.440731752458388,0.8973143759873617,0.45339652448657186,0.7992606435645015
2023,QB,passing_yards,663,152.57594258402054,174.71300320805975,124.62886015476543,73.62330116159953,73.62330116159953,0.24283559577677225,0.05731523378582202,-107.23865974051319
2023,QB,passing_tds,663,0.716912300400823,0.971972383367718,0.6738403001270956,0.9186440281980015,0.9186440281980015,0.9819004524886877,0.889894419306184,21.959727773215103
2023,QB,rushing_yards,663,12.297695418983142,15.539927866748428,8.61437840183508,12.514653172065582,12.514653172065582,0.8974358974358975,0.4464555052790347,1.7336297706333499
2024,QB,passing_yards,664,151.16141906738972,172.70922369986928,123.08264868292063,72.39690770436597,72.39690770436597,0.23795180722891565,0.045180722891566265,-108.79540834072637
2024,QB,passing_tds,664,0.7905168444020306,1.0582680277354795,0.6978117359233673,0.9574946558116886,0.9574946558116886,0.9743975903614458,0.8704819277108434,17.43903325163808
2024,QB,rushing_yards,664,13.009500181156818,16.980139385684936,9.165212355103161,13.847522220304699,13.847522220304699,0.8795180722891566,0.44126506024096385,6.05178331412304
2025,QB,passing_yards,664,145.07948515268959,166.8409299573619,117.79811824546414,75.38997223980799,75.38997223980799,0.2620481927710843,0.07078313253012049,-92.4387035071537
2025,QB,passing_tds,664,0.8276585831337444,1.0999114987525305,0.7150677361063702,1.025835282223949,1.025835282223949,0.9698795180722891,0.8509036144578314,19.31856922103219
2025,QB,rushing_yards,664,12.82384244687301,15.628377110889133,8.847761290951924,12.624306355792603,12.624306355792603,0.8825301204819277,0.4367469879518072,-1.580570729645286
2019,RB,rushing_yards,1421,28.00308361902882,41.587402292856375,21.65756810469065,23.0217492841972,23.0217492841972,0.7178043631245602,0.3800140745953554,-21.637514479627125
2019,RB,carries,1421,3.6371361025745306,4.7880465981635005,3.062283800005968,3.8816740268718934,3.8816740268718934,0.9683321604503871,0.8332160450387052,6.299805769482078
2019,RB,rushing_tds,1421,0.286782723194205,0.4720215872299584,0.33802190467999343,0.3577646374428574,0.3577646374428574,0.9732582688247713,0.9078114004222378,19.84039416416323
2019,RB,receiving_yards,1421,9.52264060437676,14.981919907963292,7.465929269028144,12.6680959543834,12.6680959543834,0.8866995073891626,0.7656579873328642,24.829740486124546
2019,RB,receptions,1421,1.2423939047304056,1.8510753758851384,1.1208457544337078,1.3551243598190228,1.3551243598190228,0.9486277269528501,0.8268824771287826,8.318827292254744
2019,RB,receiving_tds,1421,0.0786217366016588,0.19351386881628463,0.15699129868291892,0.13847315025676615,0.13847315025676615,0.976073187895848,0.932441942294159,43.22239621480905
2019,RB,targets,1421,1.5270395141695783,2.2127028502655697,1.346368373240337,1.5928987430029047,1.5928987430029047,0.9591836734693877,0.8121041520056298,4.1345521253391
2020,RB,rushing_yards,1488,27.826755794374115,40.88467331772592,21.32989322341778,23.683790090047026,23.683790090047026,0.706989247311828,0.3588709677419355,-17.492832391164225
2020,RB,carries,1488,3.5672357910840127,4.73196358889998,3.034671314145145,4.310208911452909,4.310208911452909,0.9684139784946236,0.8393817204301075,17.237519935395678
2020,RB,rushing_tds,1488,0.3029125128920692,0.4973114848264487,0.34566212660863244,0.39289298404254125,0.39289298404254125,0.9663978494623656,0.8911290322580645,22.902030528681884
2020,RB,receiving_yards,1488,8.26496405400398,12.499330517886428,6.52835530952227,11.65329207370459,11.65329207370459,0.9106182795698925,0.8057795698924731,29.076144305576108
2020,RB,receptions,1488,1.139752844544637,1.6314522793278792,1.0480363925244467,1.3084139525525262,1.3084139525525262,0.9704301075268817,0.866263440860215,12.890500569705472
2020,RB,receiving_tds,1488,0.07398097485538672,0.18457148663478845,0.15486409151701927,0.12568134946744652,0.12568134946744652,0.9825268817204301,0.9408602150537635,41.136075345412344
2020,RB,targets,1488,1.3888421807990083,1.9754288130242401,1.263655069771376,1.5376130911892885,1.5376130911892885,0.9711021505376344,0.8393817204301075,9.675445093616572
2021,RB,rushing_yards,1511,27.47951400035332,40.12716850950078,20.98091179610894,23.366328197745755,23.366328197745755,0.7154202514890801,0.3587028457974851,-17.603047290093183
2021,RB,carries,1511,3.7120594203144965,4.966409514166761,3.1104920602047783,4.523806528436634,4.523806528436634,0.9616148246194574,0.8325612177365983,17.943895323982076
2021,RB,rushing_tds,1511,0.29203825056829114,0.46468755456439553,0.3374321353183883,0.3818953688440592,0.3818953688440592,0.972203838517538,0.9046988749172733,23.52925057660487
